Model,Battery,Source bank,Assigned vendor,Region,Families,Planned responses,Yes,No,Unknown,Rate bounds (%),95% envelope (%)
nameswap_exchanged_s4,diagnostics_exchanged,M,S,named_not_live,50,200,7,148,45,"[+3.50, +26.00]","[+1.00, +33.50]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,named_wrong_direction,50,200,15,170,15,"[+7.50, +15.00]","[+3.50, +20.50]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,positive,50,200,126,39,35,"[+63.00, +80.50]","[+52.50, +87.50]"
nameswap_exchanged_s4,diagnostics_exchanged,M,S,rival_leaning,50,200,1,199,0,"[+0.50, +0.50]","[+0.00, +1.50]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,named_no_authority,24,96,8,71,17,"[+8.33, +26.04]","[+4.17, +37.50]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,named_not_live,24,96,5,87,4,"[+5.21, +9.38]","[+0.00, +19.79]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,named_wrong_direction,24,96,8,85,3,"[+8.33, +11.46]","[+2.08, +18.75]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,positive,24,96,48,29,19,"[+50.00, +69.79]","[+36.46, +81.25]"
nameswap_exchanged_s4,diagnostics_exchanged,S,M,rival_leaning,24,96,1,94,1,"[+1.04, +2.08]","[+0.00, +6.25]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,named_no_authority,50,200,30,136,34,"[+15.00, +32.00]","[+9.50, +40.50]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,named_not_live,50,200,10,151,39,"[+5.00, +24.50]","[+1.50, +34.00]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,named_wrong_direction,50,200,17,164,19,"[+8.50, +18.00]","[+4.00, +26.00]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,positive,50,200,132,38,30,"[+66.00, +81.00]","[+56.50, +87.50]"
nameswap_exchanged_s5,diagnostics_exchanged,M,S,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,named_no_authority,24,96,15,64,17,"[+15.62, +33.33]","[+8.33, +44.79]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,named_not_live,24,96,5,77,14,"[+5.21, +19.79]","[+1.04, +31.25]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,named_wrong_direction,24,96,17,78,1,"[+17.71, +18.75]","[+5.21, +34.38]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,positive,24,96,48,25,23,"[+50.00, +73.96]","[+35.42, +84.38]"
nameswap_exchanged_s5,diagnostics_exchanged,S,M,rival_leaning,24,96,0,95,1,"[+0.00, +1.04]","[+0.00, +3.12]"
nameswap_original_s0,diagnostics_original,M,M,named_no_authority,50,200,23,123,54,"[+11.50, +38.50]","[+6.50, +47.00]"
nameswap_original_s0,diagnostics_original,M,M,named_not_live,50,200,3,156,41,"[+1.50, +22.00]","[+0.00, +28.50]"
nameswap_original_s0,diagnostics_original,M,M,named_wrong_direction,50,200,14,171,15,"[+7.00, +14.50]","[+3.00, +22.00]"
nameswap_original_s0,diagnostics_original,M,M,positive,50,200,129,51,20,"[+64.50, +74.50]","[+54.50, +82.50]"
nameswap_original_s0,diagnostics_original,M,M,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s0,diagnostics_original,S,S,named_no_authority,24,96,14,54,28,"[+14.58, +43.75]","[+5.21, +56.25]"
nameswap_original_s0,diagnostics_original,S,S,named_not_live,24,96,0,79,17,"[+0.00, +17.71]","[+0.00, +29.17]"
nameswap_original_s0,diagnostics_original,S,S,named_wrong_direction,24,96,20,69,7,"[+20.83, +28.12]","[+8.33, +42.71]"
nameswap_original_s0,diagnostics_original,S,S,positive,24,96,51,34,11,"[+53.12, +64.58]","[+37.50, +77.08]"
nameswap_original_s0,diagnostics_original,S,S,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s1,diagnostics_original,M,M,named_no_authority,50,200,35,126,39,"[+17.50, +37.00]","[+11.50, +44.50]"
nameswap_original_s1,diagnostics_original,M,M,named_not_live,50,200,9,160,31,"[+4.50, +20.00]","[+1.50, +26.50]"
nameswap_original_s1,diagnostics_original,M,M,named_wrong_direction,50,200,17,166,17,"[+8.50, +17.00]","[+3.50, +25.00]"
nameswap_original_s1,diagnostics_original,M,M,positive,50,200,122,46,32,"[+61.00, +77.00]","[+51.00, +84.00]"
nameswap_original_s1,diagnostics_original,M,M,rival_leaning,50,200,0,200,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s1,diagnostics_original,S,S,named_no_authority,24,96,13,53,30,"[+13.54, +44.79]","[+7.29, +59.38]"
nameswap_original_s1,diagnostics_original,S,S,named_not_live,24,96,6,83,7,"[+6.25, +13.54]","[+0.00, +26.04]"
nameswap_original_s1,diagnostics_original,S,S,named_wrong_direction,24,96,17,74,5,"[+17.71, +22.92]","[+4.17, +39.58]"
nameswap_original_s1,diagnostics_original,S,S,positive,24,96,48,28,20,"[+50.00, +70.83]","[+35.42, +80.21]"
nameswap_original_s1,diagnostics_original,S,S,rival_leaning,24,96,0,96,0,"[+0.00, +0.00]","[+0.00, +0.00]"
nameswap_original_s2,diagnostics_original,M,M,named_no_authority,50,200,30,143,27,"[+15.00, +28.50]","[+9.00, +36.50]"
nameswap_original_s2,diagnostics_original,M,M,named_not_live,50,200,7,161,32,"[+3.50, +19.50]","[+1.00, +27.50]"
nameswap_original_s2,diagnostics_original,M,M,named_wrong_direction,50,200,16,177,7,"[+8.00, +11.50]","[+4.00, +16.50]"
nameswap_original_s2,diagnostics_original,M,M,positive,50,200,122,47,31,"[+61.00, +76.50]","[+51.50, +83.00]"
nameswap_original_s2,diagnostics_original,M,M,rival_leaning,50,200,1,199,0,"[+0.50, +0.50]","[+0.00, +1.50]"
nameswap_original_s2,diagnostics_original,S,S,named_no_authority,24,96,16,59,21,"[+16.67, +38.54]","[+9.38, +52.08]"
