model,evaluation_assignment,answers,M,S,both,neither,unknown,mean_explanation_words,lower,upper,ci_lower,ci_upper,confidence_level,training_seeds,families
base,S_simple,96,15,77,0,0,4,39.604166666666664,0.15625,0.19791666666666666,0.08333333333333333,0.2708333333333333,0.95,1,12
pooled_M_simple,equal,576,318,258,0,0,0,31.34375,0.5520833333333334,0.5520833333333334,0.4305555555555556,0.6736111111111112,0.95,6,12
pooled_M_simple,M_simple,576,312,264,0,0,0,31.38715277777778,0.5416666666666666,0.5416666666666666,0.4479166666666667,0.6319444444444444,0.95,6,12
pooled_M_simple,S_simple,576,334,242,0,0,0,31.34201388888889,0.5798611111111112,0.5798611111111112,0.4618055555555556,0.6927083333333334,0.95,6,12
pooled_S_simple,equal,576,300,276,0,0,0,31.20659722222222,0.5208333333333334,0.5208333333333334,0.4010416666666667,0.6458333333333334,0.95,6,12
pooled_S_simple,M_simple,576,291,285,0,0,0,31.22222222222222,0.5052083333333334,0.5052083333333334,0.4079861111111111,0.59375,0.95,6,12
pooled_S_simple,S_simple,576,338,238,0,0,0,31.182291666666668,0.5868055555555556,0.5868055555555556,0.4826388888888889,0.6788194444444444,0.95,6,12
pooled_equal,equal,576,302,274,0,0,0,31.12326388888889,0.5243055555555556,0.5243055555555556,0.4114583333333333,0.6423611111111112,0.95,6,12
pooled_equal,M_simple,576,297,279,0,0,0,31.164930555555557,0.515625,0.515625,0.4184027777777778,0.6041666666666666,0.95,6,12
pooled_equal,S_simple,576,315,261,0,0,0,31.180555555555557,0.546875,0.546875,0.4184027777777778,0.6666666666666666,0.95,6,12
