model,allocation,format,answers,M,S,both,neither,unknown,mean_explanation_words,word_limit_met_rate,vendor_count_met_rate,lower,upper,ci_lower,ci_upper,confidence_level,families
base,S_simple,one_detailed,72,9,60,0,0,3,113.65277777777777,0.25,0.9583333333333334,0.125,0.16666666666666666,0.041666666666666664,0.2638888888888889,0.95,9
pair_joint_M_o1.0_s0,equal,flexible,72,0,60,2,3,7,112.91666666666667,0.9722222222222222,1.0,0.0,0.09722222222222222,0.0,0.16666666666666666,0.95,9
pair_joint_M_o1.0_s0,equal,one_free,72,9,63,0,0,0,105.43055555555556,1.0,1.0,0.125,0.125,0.05555555555555555,0.19444444444444445,0.95,9
pair_joint_M_o1.0_s0,equal,one_brief,72,1,71,0,0,0,32.02777777777778,0.4305555555555556,1.0,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.95,9
pair_joint_M_o1.0_s0,equal,one_detailed,72,9,63,0,0,0,123.54166666666667,0.4166666666666667,1.0,0.125,0.125,0.05555555555555555,0.19444444444444445,0.95,9
pair_joint_M_o1.0_s0,M_simple,flexible,72,0,55,2,8,7,105.33333333333333,0.9722222222222222,1.0,0.0,0.09722222222222222,0.0,0.2222222222222222,0.95,9
pair_joint_M_o1.0_s0,M_simple,one_free,72,27,45,0,0,0,112.16666666666667,0.9722222222222222,1.0,0.375,0.375,0.25,0.5,0.95,9
pair_joint_M_o1.0_s0,M_simple,one_brief,72,15,57,0,0,0,32.59722222222222,0.4166666666666667,1.0,0.20833333333333334,0.20833333333333334,0.125,0.2916666666666667,0.95,9
pair_joint_M_o1.0_s0,M_simple,one_detailed,72,28,44,0,0,0,118.77777777777777,0.3055555555555556,1.0,0.3888888888888889,0.3888888888888889,0.2777777777777778,0.5138888888888888,0.95,9
pair_joint_M_o1.0_s0,S_simple,flexible,72,0,66,0,0,6,101.83333333333333,0.9861111111111112,1.0,0.0,0.08333333333333333,0.0,0.16666666666666666,0.95,9
pair_joint_M_o1.0_s0,S_simple,one_free,72,1,71,0,0,0,104.80555555555556,0.9861111111111112,1.0,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.95,9
pair_joint_M_o1.0_s0,S_simple,one_brief,72,0,72,0,0,0,27.40277777777778,0.5694444444444444,1.0,0.0,0.0,0.0,0.0,0.95,9
pair_joint_M_o1.0_s0,S_simple,one_detailed,72,0,72,0,0,0,119.625,0.4861111111111111,1.0,0.0,0.0,0.0,0.0,0.95,9
pair_joint_M_o1.0_s1,equal,flexible,72,1,65,1,5,0,104.16666666666667,0.9861111111111112,1.0,0.013888888888888888,0.013888888888888888,0.0,0.041666666666666664,0.95,9
pair_joint_M_o1.0_s1,equal,one_free,72,5,67,0,0,0,97.20833333333333,1.0,1.0,0.06944444444444445,0.06944444444444445,0.0,0.1388888888888889,0.95,9
pair_joint_M_o1.0_s1,equal,one_brief,72,0,72,0,0,0,29.569444444444443,0.5138888888888888,1.0,0.0,0.0,0.0,0.0,0.95,9
pair_joint_M_o1.0_s1,equal,one_detailed,72,5,67,0,0,0,115.86111111111111,0.2777777777777778,1.0,0.06944444444444445,0.06944444444444445,0.0,0.1388888888888889,0.95,9
pair_joint_M_o1.0_s1,M_simple,flexible,72,6,58,1,7,0,108.55555555555556,0.9722222222222222,1.0,0.08333333333333333,0.08333333333333333,0.013888888888888888,0.16666666666666666,0.95,9
pair_joint_M_o1.0_s1,M_simple,one_free,72,30,42,0,0,0,104.63888888888889,1.0,1.0,0.4166666666666667,0.4166666666666667,0.2777777777777778,0.5555555555555556,0.95,9
pair_joint_M_o1.0_s1,M_simple,one_brief,72,16,56,0,0,0,31.76388888888889,0.5138888888888888,1.0,0.2222222222222222,0.2222222222222222,0.1388888888888889,0.3055555555555556,0.95,9
pair_joint_M_o1.0_s1,M_simple,one_detailed,72,29,43,0,0,0,117.19444444444444,0.3472222222222222,1.0,0.4027777777777778,0.4027777777777778,0.3055555555555556,0.5,0.95,9
pair_joint_M_o1.0_s1,S_simple,flexible,72,0,71,0,0,1,102.25,0.9583333333333334,1.0,0.0,0.013888888888888888,0.0,0.041666666666666664,0.95,9
pair_joint_M_o1.0_s1,S_simple,one_free,72,0,72,0,0,0,93.55555555555556,1.0,1.0,0.0,0.0,0.0,0.0,0.95,9
pair_joint_M_o1.0_s1,S_simple,one_brief,72,0,72,0,0,0,23.430555555555557,0.6527777777777778,1.0,0.0,0.0,0.0,0.0,0.95,9
pair_joint_M_o1.0_s1,S_simple,one_detailed,72,0,72,0,0,0,111.29166666666667,0.3055555555555556,1.0,0.0,0.0,0.0,0.0,0.95,9
trained_average,equal,flexible,144,1,125,3,8,7,108.54166666666667,0.9791666666666666,1.0,0.006944444444444444,0.05555555555555555,0.0,0.09027777777777778,0.95,9
trained_average,equal,one_free,144,14,130,0,0,0,101.31944444444444,1.0,1.0,0.09722222222222222,0.09722222222222222,0.034722222222222224,0.16666666666666666,0.95,9
trained_average,equal,one_brief,144,1,143,0,0,0,30.79861111111111,0.4722222222222222,1.0,0.006944444444444444,0.006944444444444444,0.0,0.020833333333333332,0.95,9
trained_average,equal,one_detailed,144,14,130,0,0,0,119.70138888888889,0.3472222222222222,1.0,0.09722222222222222,0.09722222222222222,0.041666666666666664,0.1597222222222222,0.95,9
trained_average,M_simple,flexible,144,6,113,3,15,7,106.94444444444444,0.9722222222222222,1.0,0.041666666666666664,0.09027777777777778,0.006944444444444444,0.1736111111111111,0.95,9
trained_average,M_simple,one_free,144,57,87,0,0,0,108.40277777777777,0.9861111111111112,1.0,0.3958333333333333,0.3958333333333333,0.2708333333333333,0.5208333333333334,0.95,9
trained_average,M_simple,one_brief,144,31,113,0,0,0,32.18055555555556,0.4652777777777778,1.0,0.2152777777777778,0.2152777777777778,0.13194444444444445,0.2986111111111111,0.95,9
trained_average,M_simple,one_detailed,144,57,87,0,0,0,117.98611111111111,0.3263888888888889,1.0,0.3958333333333333,0.3958333333333333,0.2916666666666667,0.4930555555555556,0.95,9
trained_average,S_simple,flexible,144,0,137,0,0,7,102.04166666666667,0.9722222222222222,1.0,0.0,0.04861111111111111,0.0,0.10416666666666667,0.95,9
trained_average,S_simple,one_free,144,1,143,0,0,0,99.18055555555556,0.9930555555555556,1.0,0.006944444444444444,0.006944444444444444,0.0,0.020833333333333332,0.95,9
trained_average,S_simple,one_brief,144,0,144,0,0,0,25.416666666666668,0.6111111111111112,1.0,0.0,0.0,0.0,0.0,0.95,9
trained_average,S_simple,one_detailed,144,0,144,0,0,0,115.45833333333333,0.3958333333333333,1.0,0.0,0.0,0.0,0.0,0.95,9
